dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.250000,22.999700,0.000025,0.005000,0.500000,50.000000,0.000000
0.010000,3.250000,22.999700,0.000025,0.000000,-0.500000,-100.000000,0.000000
0.010000,3.250192,22.999700,0.000217,0.019250,1.925000,242.500000,0.000000
0.010000,3.250593,22.999700,0.000618,0.040000,2.075000,15.000000,0.000000
0.010000,3.251218,22.999700,0.001243,0.062500,2.250000,17.500000,0.000000
0.010000,3.252092,22.999700,0.002117,0.087500,2.500000,25.000000,0.000000
0.010000,3.253217,22.999700,0.003242,0.112500,2.500000,0.000000,0.000000
0.010000,3.254592,22.999700,0.004617,0.137500,2.500000,-0.000000,0.000000
0.010000,3.256218,22.999700,0.006242,0.162500,2.500000,0.000000,0.000000
0.010000,3.258093,22.999700,0.008118,0.187500,2.500000,-0.000000,0.000000
0.010000,3.260218,22.999700,0.010242,0.212500,2.500000,0.000000,0.000000
0.010000,3.262592,22.999700,0.012617,0.237500,2.500000,0.000000,0.000000
0.010000,3.265217,22.999700,0.015242,0.262500,2.500000,0.000000,0.000000
0.010000,3.268092,22.999700,0.018117,0.287500,2.500000,-0.000000,0.000000
0.010000,3.271218,22.999700,0.021243,0.312500,2.500000,0.000000,0.000000
0.010000,3.274592,22.999700,0.024617,0.337500,2.500000,-0.000000,0.000000
0.010000,3.278217,22.999700,0.028242,0.362500,2.500000,0.000000,0.000000
0.010000,3.282093,22.999700,0.032118,0.387500,2.500000,0.000000,0.000000
0.010000,3.286217,22.999700,0.036242,0.412500,2.500000,-0.000000,0.000000
0.010000,3.290592,22.999700,0.040617,0.437500,2.500000,0.000000,0.000000
0.010000,3.295217,22.999700,0.045242,0.462500,2.500000,-0.000000,0.000000
0.010000,3.300092,22.999700,0.050117,0.487500,2.500000,0.000000,0.000000
0.010000,3.305217,22.999700,0.055242,0.512500,2.500000,-0.000000,0.000000
0.010000,3.310592,22.999700,0.060617,0.537500,2.500000,0.000000,0.000000
0.010000,3.316218,22.999700,0.066243,0.562500,2.500000,0.000000,0.000000
0.010000,3.322093,22.999700,0.072118,0.587500,2.500000,-0.000000,0.000000
0.010000,3.328218,22.999700,0.078243,0.612500,2.500000,0.000000,0.000000
0.010000,3.334593,22.999700,0.084618,0.637500,2.500000,-0.000000,0.000000
0.010000,3.341218,22.999700,0.091243,0.662500,2.500000,0.000000,0.000000
0.010000,3.348093,22.999700,0.098118,0.687500,2.500000,-0.000000,0.000000
0.010000,3.355218,22.999700,0.105243,0.712500,2.500000,0.000000,0.000000
0.010000,3.362593,22.999700,0.112618,0.737500,2.500000,0.000000,0.000000
0.010000,3.370218,22.999700,0.120243,0.762500,2.500000,-0.000000,0.000000
0.010000,3.378093,22.999700,0.128118,0.787500,2.500000,0.000000,0.000000
0.010000,3.386218,22.999700,0.136243,0.812500,2.500000,0.000000,0.000000
0.010000,3.394593,22.999700,0.144618,0.837500,2.500000,0.000000,0.000000
0.010000,3.403218,22.999700,0.153243,0.862500,2.500000,-0.000000,0.000000
0.010000,3.412093,22.999700,0.162118,0.887500,2.500000,0.000000,0.000000
0.010000,3.421218,22.999700,0.171243,0.912500,2.500000,0.000000,0.000000
0.010000,3.430593,22.999700,0.180618,0.937500,2.500000,-0.000000,0.000000
0.010000,3.440218,22.999700,0.190243,0.962500,2.500000,0.000000,0.000000
0.010000,3.450093,22.999700,0.200118,0.987500,2.500000,0.000000,0.000000
0.010000,3.460218,22.999700,0.210243,1.012500,2.500000,-0.000000,0.000000
0.010000,3.470593,22.999700,0.220618,1.037500,2.500000,0.000000,0.000000
0.010000,3.481218,22.999700,0.231243,1.062500,2.500000,0.000000,0.000000
0.010000,3.492093,22.999700,0.242118,1.087500,2.500000,-0.000000,0.000000
0.010000,3.503218,22.999700,0.253243,1.112500,2.500000,0.000000,0.000000
0.010000,3.514593,22.999700,0.264618,1.137500,2.500000,-0.000000,0.000000
0.010000,3.526218,22.999700,0.276243,1.162500,2.500000,0.000000,0.000000
0.010000,3.538093,22.999700,0.288118,1.187500,2.500000,0.000000,0.000000
0.010000,3.550218,22.999700,0.300243,1.212500,2.500000,-0.000000,0.000000
0.010000,3.562593,22.999700,0.312618,1.237500,2.500000,0.000000,0.000000
0.010000,3.575218,22.999700,0.325243,1.262500,2.500000,0.000000,0.000000
0.010000,3.588093,22.999700,0.338118,1.287500,2.500000,0.000000,0.000000
0.010000,3.601218,22.999700,0.351243,1.312500,2.500000,-0.000000,0.000000
0.010000,3.614593,22.999700,0.364618,1.337500,2.500000,0.000000,0.000000
0.010000,3.628218,22.999700,0.378243,1.362500,2.500000,0.000000,0.000000
0.010000,3.642093,22.999700,0.392118,1.387500,2.500000,-0.000000,0.000000
0.010000,3.656218,22.999700,0.406243,1.412500,2.500000,0.000000,0.000000
0.010000,3.670593,22.999700,0.420618,1.437500,2.500000,-0.000000,0.000000
0.010000,3.685218,22.999700,0.435243,1.462500,2.500000,0.000000,0.000000
0.010000,3.700093,22.999700,0.450118,1.487500,2.500000,0.000000,0.000000
0.010000,3.715218,22.999700,0.465243,1.512500,2.500000,0.000000,0.000000
0.010000,3.730593,22.999700,0.480618,1.537500,2.500000,-0.000000,0.000000
0.010000,3.746218,22.999700,0.496243,1.562500,2.500000,-0.000000,0.000000
0.010000,3.762093,22.999700,0.512118,1.587500,2.500000,-0.000000,0.000000
0.010000,3.778218,22.999700,0.528243,1.612500,2.500000,0.000000,0.000000
0.010000,3.794593,22.999700,0.544618,1.637500,2.500000,-0.000000,0.000000
0.010000,3.811217,22.999700,0.561242,1.662500,2.500000,0.000000,0.000000
0.010000,3.828092,22.999700,0.578117,1.687500,2.500000,0.000000,0.000000
0.010000,3.845217,22.999700,0.595242,1.712500,2.500000,0.000000,0.000000
0.010000,3.862592,22.999700,0.612617,1.737500,2.500000,0.000000,0.000000
0.010000,3.880217,22.999700,0.630242,1.762500,2.500000,0.000000,0.000000
0.010000,3.898092,22.999700,0.648117,1.787500,2.500000,0.000000,0.000000
0.010000,3.916217,22.999700,0.666242,1.812500,2.500000,0.000000,0.000000
0.010000,3.934592,22.999700,0.684617,1.837500,2.500000,-0.000000,0.000000
0.010000,3.953217,22.999700,0.703242,1.862500,2.500000,0.000000,0.000000
0.010000,3.972092,22.999700,0.722117,1.887500,2.500000,0.000000,0.000000
0.010000,3.991217,22.999700,0.741242,1.912500,2.500000,0.000000,0.000000
0.010000,4.010592,22.999700,0.760617,1.937500,2.500000,0.000000,0.000000
0.010000,4.030217,22.999700,0.780242,1.962500,2.500000,-0.000000,0.000000
0.010000,4.050092,22.999700,0.800117,1.987500,2.500000,0.000000,0.000000
0.010000,4.070217,22.999700,0.820242,2.012500,2.500000,-0.000000,0.000000
0.010000,4.090592,22.999700,0.840617,2.037500,2.500000,0.000000,0.000000
0.010000,4.111217,22.999700,0.861242,2.062500,2.500000,-0.000000,0.000000
0.010000,4.132092,22.999700,0.882117,2.087500,2.500000,0.000000,0.000000
0.010000,4.153217,22.999700,0.903242,2.112500,2.500000,0.000000,0.000000
0.010000,4.174592,22.999700,0.924617,2.137500,2.500000,-0.000000,0.000000
0.010000,4.196217,22.999700,0.946242,2.162500,2.500000,0.000000,0.000000
0.010000,4.218092,22.999700,0.968117,2.187500,2.500000,-0.000000,0.000000
0.010000,4.240217,22.999700,0.990242,2.212500,2.500000,0.000000,0.000000
0.010000,4.262592,22.999700,1.012617,2.237500,2.500000,0.000000,0.000000
0.010000,4.285217,22.999700,1.035242,2.262500,2.500000,-0.000000,0.000000
0.010000,4.308092,22.999700,1.058117,2.287500,2.500000,0.000000,0.000000
0.010000,4.331217,22.999700,1.081242,2.312500,2.500000,0.000000,0.000000
0.010000,4.354592,22.999700,1.104617,2.337500,2.500000,-0.000000,0.000000
0.010000,4.378217,22.999700,1.128242,2.362500,2.500000,0.000000,0.000000
0.010000,4.402092,22.999700,1.152117,2.387500,2.500000,-0.000000,0.000000
0.010000,4.426217,22.999700,1.176242,2.412500,2.500000,0.000000,0.000000
0.010000,4.450592,22.999700,1.200617,2.437500,2.500000,0.000000,0.000000
0.010000,4.475217,22.999700,1.225242,2.462500,2.500000,-0.000000,0.000000
0.010000,4.500092,22.999700,1.250117,2.487500,2.500000,0.000000,0.000000
0.010000,4.525217,22.999700,1.275242,2.512500,2.500000,-0.000000,0.000000
0.010000,4.550592,22.999700,1.300617,2.537500,2.500000,0.000000,0.000000
0.010000,4.576217,22.999700,1.326242,2.562500,2.500000,-0.000000,0.000000
0.010000,4.602093,22.999700,1.352118,2.587500,2.500000,0.000000,0.000000
0.010000,4.628218,22.999700,1.378243,2.612500,2.500000,-0.000000,0.000000
0.010000,4.654593,22.999700,1.404618,2.637500,2.500000,0.000000,0.000000
0.010000,4.681218,22.999700,1.431243,2.662500,2.500000,-0.000000,0.000000
0.010000,4.708093,22.999700,1.458118,2.687500,2.500000,0.000000,0.000000
0.010000,4.735218,22.999700,1.485243,2.712500,2.500000,0.000000,0.000000
0.010000,4.762593,22.999700,1.512618,2.737500,2.500000,0.000000,0.000000
0.010000,4.790218,22.999700,1.540243,2.762500,2.500000,0.000000,0.000000
0.010000,4.818093,22.999700,1.568118,2.787500,2.500000,-0.000000,0.000000
0.010000,4.846218,22.999700,1.596243,2.812500,2.500000,0.000000,0.000000
0.010000,4.874593,22.999700,1.624618,2.837500,2.500000,0.000000,0.000000
0.010000,4.903218,22.999700,1.653243,2.862500,2.500000,-0.000000,0.000000
0.010000,4.932093,22.999700,1.682118,2.887500,2.500000,0.000000,0.000000
0.010000,4.961218,22.999700,1.711243,2.912500,2.500000,-0.000000,0.000000
0.010000,4.990593,22.999700,1.740618,2.937500,2.500000,0.000000,0.000000
0.010000,5.020218,22.999700,1.770243,2.962500,2.500000,0.000000,0.000000
0.010000,5.050093,22.999700,1.800118,2.987500,2.500000,-0.000000,0.000000
0.010000,5.080218,22.999700,1.830243,3.012500,2.500000,0.000000,0.000000
